B4,B3,B2,B5,B8,yield
2573,2278,2274.5,2815,3628.5,1.185625
9.7375,1798.5,1883,2077,2805,1.1925
2408,2183,2131,2639,3361,1.21875
7.1375,2403,2387,2879.5,3445.5,1.23125
1853,1833,1901.5,2101.5,2670.5,1.245
1853,1833,1901.5,2101.5,2670.5,1.26
11.0225,1921,1985.5,2217,2889,1.261625
1981.5,1875,1932,2189,3024,1.274375
1770,1777,1883,1966.5,2518.5,1.276875
2415,2160,2096,2660,3427,1.28125
15.69,2040,2082,2459.5,3046,1.29
1907.5,1872,1907.5,2171,3074,1.32625
1906.5,1853.5,1938.5,2157,2850,1.353125
2728.5,2432.5,2393.5,2900,3624.5,1.3725
2463,2161,2122,2671,3190,1.38125
1698,1784.5,1873,2005,2755,1.415
1678,1799,1859.5,1974,3079.5,1.423125
12.885,1837.5,1907,2083.5,3067.5,1.434375
24.12,1917.5,1997.5,2321,2856.5,1.43625
8.7,1894,1949,2152,2923,1.4375
1979,1840.5,1921,2167.5,2583,1.450625
1782.5,1749.5,1861,2013,2538,1.453125
2606,2313.5,2306,2778.5,3356,1.455
9.145,2036,2022,2436,3138,1.45875
1981.5,1875,1932,2189,3024,1.47
2127.5,2066.5,2050,2469.5,3289,1.478125
10.9325,2536,2474,3080,3706.5,1.489375
10.345,1949.5,1968,2303,3009.5,1.526875
10.875,1921.5,1951.5,2300.5,2741.5,1.538125
1952,1854,1921.5,2147,2671,1.55625
11.465,2493.5,2417.5,3032.5,3973,1.5825
9.7975,1955,2001.5,2343.5,3040.5,1.6275
2026,1914.5,1996.5,2226,2830.5,1.633125
2532.5,2326.5,2285,2829,3672.5,1.651875
2109,1990,2058,2328,2905,1.686875
11.78,1838,1905,2163.5,2889.5,1.74187499999999
1896,1815,1899,2036,2443,1.74375
11.835,1931.5,1964.5,2355.5,2807,1.789375
20.945,1873,1958.5,2183,2868,1.8025
1785.5,1764,1865,1980,2547,1.8275
8.65,2121,2103,2595,3343,1.84375
15.67,1874,1900.5,2150.5,3907.5,1.8475
35.145,1797,1876,2142.5,2596,1.858125
10.6525,1921,1973.5,2257,2833,1.86625
2724,2357,2312.5,2938.5,3601.5,1.86875
