B4,B3,B2,B5,B8,yield
2230.5,1934.5,1973,2461.5,2965.5,2.89125
15.22,2083.5,2089,2549.5,3236,3.2525
2362.5,2128.5,2165,2604.5,3389.5,3.48125
2209,1990,2059,2401,3074,1.054375
2806,2378,2316,3053,3671,3.47375
8.405,2265,2246,2841,3474,1.509375
31.47,2428,2362,3136,3867,6.34875
2517.5,2230.5,2214,2830.5,3727.5,4.7425
2073.5,1943.5,2014,2315,3009,5.28125
21.71,2302,2303,2851,3589,4.28375
2576.5,2218.5,2188,2896.5,3903,6.775
22.525,2150.5,2173.5,2587.5,3404.5,4.6575
2055,1988.5,2025,2363,3253.5,2.69125
21.46,2000,2038.5,2421.5,3225,4.54125
2230,2040,2076,2458,3105,4.9275
2238.5,2021,2055.5,2447,3020,7.03875
26.66,1966.71428571429,2032.64705882353,2383.81818181818,2993.8,4.9725
1880.625,1815.3,1928.7,2088.44444444444,2678.33333333333,3.58125
2150.16666666667,1958.46153846154,2009.3,2345,2861.85714285714,5.485
2227,2069,2145,2453,3104,2.061875
2001.5,1906,2028.13333333333,2159.11111111111,2527.5,5.2325
2327.5,2129,2147,2563.375,3305.75,4.60125
2235,2058.5,2103,2459,3182.5,6.62375
17.2,2029.5,2090,2437,3215.5,3.84
1982.5,1915.5,1990,2290,3213.5,3.7575
2487,2244.5,2278.5,2685,3400,0.036875
2245.5,2115.5,2116.5,2580,3824.5,4.655
2694,2277,2228.5,3068,3992.5,6.4525
2136.5,1958.75,2013.0625,2361.75,3034.5,5.28375
2827.5,2392,2318,3034,3690,1.05
2208.5,2058,2127.5,2417,3069,0.040625
2022.83333333333,1929.25,2006.625,2233.5,2881.25,5.005
1965.6,1904.125,1968.21428571429,2193.18181818182,2898.5,3.44
2260,2027,2059.6,2448.75,3081,5.095
1870,1859,1930,2168,2913,5.50875
2023,1928,1971,2346,3125,6.9025
2269,2104,2146,2501,3321,6.14
7.1225,2070,2113,2447,3192.5,1.675625
1629,1775,1881,1916,2810,3.155
2166,2029.5,2069,2469,3387.5,2.399375
2378.5,2156.5,2157.5,2586.5,3408,5.26
33.85,2096,2112,2515.5,3554.5,7.1125
2834,2491,2453.5,3058,3731,3.19875
2224,2065.5,2088,2499.5,3149,1.818125
2269,2071,2096,2473,3153,3.16625
2548,2281,2294,2730,3482,6.1
2189,2029.5,2048.5,2496.5,3330.5,2.631875
2302.5,2107.5,2146.5,2517,3170,2.201875
2665.5,2378,2359.5,2910,3763.5,1.7325
2412,2181,2184,2679.5,3444.5,4.58
2562.5,2274,2285.5,2786.5,3527.5,3.945
2670.5,2388.5,2353.5,2923.5,3739.5,5.03625
2446.5,2153,2126,2748.5,3587.5,4.56125
10.475,2355,2297,3010,3750,1.988125
20.78,1851,1943.5,2147,2923.5,4.5675
2072,2014,2092,2300,2896,0.395
2216,2006,2078,2415,2924,0.26
2754,2367,2315.5,2901.5,3409.5,0.9275
2108.5,1980,2043,2327.5,3084.5,1.38375
6.7275,2091,2068.5,2605,3373.5,1.239375
2256.5,1998,1999.5,2523.5,3195,1.71375
2566,2245,2199,2790,3491,2.714375
1912,1887,1955,2205,3080,1.166875
6.3025,2086,2045.5,2645,3288.5,1.25125
4.88,2039.5,2147,2306,2910,0.76125
2672,2290,2231,2889,3584,3.14375
2162,2084.5,2141.5,2369,3196.5,1.8875
2506.5,2290.5,2266,2749.5,3550,1.513125
3.415,2399.5,2325.5,3030.5,3707.5,0.655
2445,2337,2312,2739,3619,1.49125
14.98,2098.5,2121,2532,3226,2.955
2242,2091.5,2155,2442,3130,1.025625
2639.5,2315.5,2312.5,2812.5,3470,0.613125
2441.5,2247.5,2274,2661,3506.5,0.998125
1971,1938,2022,2242,2990,1.431875
0.565,2123.5,2176,2481,3283,0.11375
2761,2315.5,2241,2981,3535,3.76625
2512.5,2278,2224.5,2787,3574.5,1.04625
2594,2210,2164,2821,3705,2.71125
2418,2240,2222,2635.5,3486,0.189375
2660.5,2321.5,2289,2878.5,3566,0.585625
2495,2154,2129.5,2656,3171,3.05625
2669.5,2237.5,2209.5,2863.5,3386,1.6275
7.2175,2418,2327,3103.5,3803,1.2975
2610.5,2308.5,2261,2815.5,3459.5,0.220625
2612,2279,2242,2835,3582.5,1.97
2193,2043,2064,2474,3360,1.99875
2531,2251.5,2184.5,2822,3847.5,0.13125
2514,2246.5,2257.5,2750.5,3539,3.103125
2317,2108,2175,2499,3153,2.12375
2468,2235.5,2221,2746,3480.5,3.7075
2497,2186.5,2174.5,2763,3466,1.605
2136,2041,2113.5,2335,3075,1.7175
2761,2378,2340,2970,3600,1.42
17.05,1955.5,2026.5,2340,2954,3.29
